"binary", "filename", "configuration", "rate", "time"
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='among mad people'", 17839.605887426733, 0.05605505
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='among mad people'", 17277.50896469469, 0.057878714
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='neighbouring pool'", 9418.612147720949, 0.106172755
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='neighbouring pool'", 9288.956569464983, 0.107654718
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='neighbouring pool'", 9191.399074784578, 0.108797365
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='neighbouring pool'", 9436.308611189294, 0.105973643
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='neighbouring pool'", 8454.87948300644, 0.118274897
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='neighbouring pool'", 8224.778187190786, 0.121583826
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='neighbouring pool'", 8725.006205442538, 0.114613099
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='neighbouring pool'", 9912.12730636741, 0.100886517
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='Soo--oop'", 7487.715821896203, 0.133552077
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='Soo--oop'", 7317.708883304892, 0.136654794
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='Soo--oop'", 7432.753040217117, 0.134539651
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='Soo--oop'", 7336.778792260268, 0.136299598
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='Soo--oop'", 6762.449917126853, 0.147875402
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='Soo--oop'", 6601.25587836885, 0.151486326
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='binary' search='Soo--oop'", 7482.7683629960375, 0.133640379
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='binary' search='Soo--oop'", 7059.165342502549, 0.141659807
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='undefined' search='aaaaaaaaaaaaaaaaa'", 13696.268187394367, 0.073012589
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='undefined' search='aaaaaaaaaaaaaaaaa'", 12178.675392703823, 0.082110736
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='utf8' search='aaaaaaaaaaaaaaaaa'", 12900.981202186707, 0.077513484
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='utf8' search='aaaaaaaaaaaaaaaaa'", 12152.054329696146, 0.082290613
"new", "buffers/buffer-indexof.js", "n=1000 type='buffer' encoding='ucs2' search='aaaaaaaaaaaaaaaaa'", 10369.899607653811, 0.096432949
"new", "buffers/buffer-indexof.js", "n=1000 type='string' encoding='ucs2' search='aaaaaaaaaaaaaaaaa'", 10844.791234840635, 0.092210166
